iter	RMSE
0	0.1861558624
1	0.1807010987
2	0.1753954012
3	0.1704290296
4	0.1657513229
5	0.1611304992
6	0.1565444425
7	0.152101834
8	0.1478831786
9	0.1437482457
10	0.1402896114
11	0.1368221425
12	0.1332131965
13	0.1297747668
14	0.1266377204
15	0.1235408384
16	0.1209077287
17	0.1181554427
18	0.1156492572
19	0.1131801179
20	0.110924687
21	0.1085448636
22	0.106255466
23	0.104097012
24	0.1021083148
25	0.1002402779
26	0.09857392502
27	0.09700781747
28	0.09561775277
29	0.09411376518
30	0.09292443339
31	0.09168527559
32	0.09047735562
33	0.0894729078
34	0.08846479402
35	0.08742933921
36	0.08650913694
37	0.08560913677
38	0.08476430281
39	0.08389840822
40	0.08310034451
41	0.08223922837
42	0.08155617026
43	0.0807597758
44	0.08009519071
45	0.07946600645
46	0.07880458169
47	0.07822843992
48	0.07766115539
49	0.07720607795
50	0.07669294593
51	0.07622661893
52	0.07576552467
53	0.07541772736
54	0.07501516606
55	0.07471685668
56	0.07436480591
57	0.07401260521
58	0.07369379907
59	0.07348663746
60	0.07317462809
61	0.07291865545
62	0.07269073842
63	0.0724261039
64	0.07218600102
65	0.07197076301
66	0.0717874715
67	0.07160805132
68	0.07141464404
69	0.07133176733
70	0.07114648098
71	0.07101066157
72	0.07080022067
73	0.07064696607
74	0.07056881476
75	0.07040059528
76	0.07028110274
77	0.07015097933
78	0.07005365307
79	0.06991990721
80	0.06976015832
81	0.06972353418
82	0.06962168638
83	0.06958995017
84	0.06950388443
85	0.06939064388
86	0.06925296665
87	0.06920756801
88	0.06907133747
89	0.06895360044
90	0.06883396913
91	0.06874860671
92	0.0686283815
93	0.06849462819
94	0.06843018465
95	0.06836494367
96	0.0682699042
97	0.06819122452
98	0.06811909298
99	0.06802875805
100	0.06793760368
101	0.06787105592
102	0.06782071316
103	0.0677345783
104	0.06765133529
105	0.06760580995
106	0.06753053462
107	0.06745834538
108	0.06737655764
109	0.06733149043
110	0.06727889126
111	0.06721689247
112	0.06718279943
113	0.06712809542
114	0.06707669897
115	0.06705796626
116	0.06700636394
117	0.06689399126
118	0.06680310838
119	0.06674897084
120	0.06670503256
121	0.0666707425
122	0.06663073486
123	0.06654083924
124	0.06650602479
125	0.06644527345
126	0.06640765966
127	0.06632983399
128	0.06631912056
129	0.06626551716
130	0.06619035961
131	0.06617801814
132	0.06614414412
133	0.06610058007
134	0.06600389971
135	0.06597470062
136	0.06591577432
137	0.06588137059
138	0.06582628697
139	0.06576999826
140	0.0657181955
141	0.06562081896
142	0.06556431884
143	0.0655442438
144	0.06549464722
145	0.06547391071
146	0.06544111179
147	0.06537505166
148	0.06531924115
