iter	Passed	Remaining
485	578	612
486	579	610
487	580	609
488	581	607
489	582	606
490	583	605
491	584	603
492	585	602
493	586	600
494	587	599
495	588	598
496	589	596
497	590	595
498	591	593
499	592	592
500	593	590
501	594	589
502	595	588
503	596	586
504	597	585
505	598	583
506	599	582
507	600	581
508	601	579
509	602	578
510	603	577
511	604	575
512	605	574
513	606	573
514	607	571
515	608	570
516	609	568
517	610	567
518	611	566
519	612	565
520	613	563
521	614	562
522	615	560
523	616	559
524	617	558
525	618	557
526	620	556
527	621	555
528	622	554
529	623	552
530	624	551
531	625	550
532	626	549
533	627	547
534	628	546
535	629	544
536	630	543
537	631	542
538	632	540
539	633	539
540	634	537
541	635	536
542	636	535
543	637	534
544	637	532
545	638	531
546	639	529
547	640	528
548	641	527
549	642	525
550	643	524
551	644	522
552	645	521
553	646	520
554	647	518
555	647	517
556	648	516
557	649	514
558	650	513
559	651	512
560	652	510
561	653	509
562	654	508
563	655	506
564	656	505
565	657	504
566	658	502
567	659	501
568	660	500
569	661	498
570	662	497
571	663	496
572	664	494
573	664	493
574	666	492
575	667	491
576	668	489
577	669	488
578	670	487
579	671	486
580	672	484
581	673	483
582	674	482
583	675	481
584	676	479
585	677	478
586	678	477
587	679	476
588	680	474
589	681	473
590	682	472
591	684	471
592	685	470
593	686	469
594	687	467
595	688	466
596	689	465
597	690	464
598	691	462
599	692	461
600	693	460
601	693	458
602	694	457
603	695	456
604	696	454
605	697	453
606	698	452
607	699	451
608	700	449
609	701	448
610	702	447
611	703	445
612	704	444
613	705	443
614	706	441
615	706	440
616	707	439
617	708	438
618	709	436
619	710	435
620	711	434
621	712	432
622	713	431
623	714	430
624	715	429
625	716	427
626	717	426
627	718	425
628	719	424
629	720	422
630	721	421
631	722	420
632	723	419
633	724	418
634	725	417
635	726	415
636	727	414
637	728	413
638	729	412
639	730	411
640	731	409
641	732	408
642	733	407
643	734	406
644	735	404
645	736	403
646	737	402
647	738	401
648	739	399
649	740	398
650	741	397
651	742	396
652	743	395
653	744	393
654	745	392
655	746	391
656	747	390
657	748	388
658	749	387
659	750	386
660	751	385
661	752	384
662	753	382
663	754	381
664	755	380
665	756	379
666	757	377
667	758	376
668	759	375
669	760	374
670	761	373
671	762	371
672	763	370
673	764	369
674	765	368
675	766	367
676	767	365
677	768	364
678	768	363
679	769	362
680	770	361
681	771	359
682	772	358
683	773	357
684	774	356
685	775	355
686	776	353
687	777	352
688	778	351
689	779	350
690	780	349
691	781	347
692	782	346
693	783	345
694	784	344
695	785	343
696	786	341
697	787	340
698	788	339
699	789	338
700	790	337
701	791	335
702	792	334
703	793	333
704	794	332
705	795	331
706	796	329
707	797	328
708	798	327
709	799	326
710	800	325
711	801	324
712	802	323
713	803	321
714	804	320
715	805	319
716	806	318
717	807	317
718	808	315
719	809	314
720	810	313
721	811	312
722	812	311
723	813	310
724	814	309
725	815	307
726	816	306
727	817	305
728	818	304
729	819	303
730	820	302
731	821	300
732	822	299
733	823	298
734	824	297
735	825	296
736	826	295
737	827	293
738	829	292
739	830	291
740	831	290
741	832	289
742	833	288
743	834	287
744	835	285
745	836	284
746	837	283
747	838	282
748	839	281
749	840	280
750	841	278
751	842	277
752	843	276
753	844	275
754	844	274
755	845	273
756	846	271
757	847	270
758	848	269
759	849	268
760	850	267
761	852	266
762	853	264
763	854	263
764	855	262
765	856	261
766	857	260
767	858	259
768	859	258
769	860	256
770	861	255
771	862	254
772	863	253
773	864	252
774	865	251
775	866	250
776	867	249
777	868	247
778	869	246
779	870	245
780	871	244
781	872	243
782	874	242
783	875	241
784	876	239
785	877	238
786	878	237
787	879	236
788	880	235
789	881	234
790	882	233
791	883	232
792	885	231
793	887	230
794	888	228
795	889	227
796	890	226
797	891	225
798	892	224
799	893	223
800	894	222
801	895	221
802	896	219
803	897	218
804	898	217
805	899	216
806	900	215
807	901	214
808	902	213
809	903	211
810	904	210
811	905	209
812	906	208
813	907	207
814	908	206
815	909	205
816	910	203
817	911	202
818	912	201
819	913	200
820	914	199
821	915	198
822	916	197
823	917	196
824	918	194
825	919	193
826	920	192
827	921	191
828	922	190
829	923	189
830	924	188
831	925	186
832	926	185
833	927	184
834	929	183
835	930	182
836	931	181
837	932	180
838	933	179
839	934	177
840	935	176
841	936	175
842	937	174
843	938	173
844	939	172
845	940	171
846	941	170
847	942	168
848	943	167
849	944	166
850	945	165
851	946	164
852	947	163
853	948	162
854	949	161
855	950	159
856	952	158
857	953	157
858	954	156
859	954	155
860	955	154
861	956	153
862	957	152
863	958	150
864	960	149
865	960	148
866	961	147
867	962	146
868	963	145
869	964	144
870	965	143
871	966	141
872	967	140
873	968	139
874	969	138
875	970	137
876	971	136
877	972	135
878	973	134
879	974	132
880	975	131
881	976	130
882	977	129
883	978	128
884	979	127
885	980	126
886	981	125
887	982	123
888	983	122
889	984	121
890	985	120
891	986	119
892	987	118
893	988	117
894	989	116
895	989	114
896	991	113
897	992	112
898	993	111
899	994	110
900	994	109
901	995	108
902	996	107
903	997	105
904	998	104
905	999	103
906	1000	102
907	1001	101
908	1002	100
909	1003	99
910	1004	98
911	1005	97
912	1006	95
913	1007	94
914	1008	93
915	1009	92
916	1010	91
917	1011	90
918	1012	89
919	1013	88
920	1014	87
921	1015	85
922	1016	84
923	1017	83
924	1018	82
925	1019	81
926	1020	80
927	1021	79
928	1022	78
929	1023	77
930	1024	75
931	1025	74
932	1026	73
933	1027	72
934	1028	71
935	1029	70
936	1030	69
937	1031	68
938	1032	67
939	1033	65
940	1034	64
941	1035	63
942	1036	62
943	1037	61
944	1038	60
945	1039	59
946	1040	58
947	1041	57
948	1042	56
949	1043	54
950	1044	53
951	1045	52
952	1046	51
953	1047	50
954	1048	49
955	1049	48
956	1050	47
957	1051	46
958	1052	45
959	1053	43
960	1054	42
961	1055	41
962	1056	40
963	1057	39
964	1058	38
965	1059	37
966	1060	36
967	1061	35
968	1062	33
969	1063	32
970	1063	31
971	1064	30
972	1065	29
973	1066	28
974	1067	27
975	1068	26
976	1069	25
977	1070	24
978	1071	22
979	1072	21
980	1073	20
981	1074	19
982	1075	18
983	1076	17
984	1077	16
985	1078	15
986	1079	14
987	1079	13
988	1080	12
989	1081	10
990	1082	9
991	1083	8
992	1084	7
993	1085	6
994	1086	5
995	1087	4
996	1088	3
997	1089	2
998	1090	1
999	1090	0
